name,party,state,constituency
BISHNU PADA RAY,Bharatiya Janata Party,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
KULDEEP RAI SHARMA,Indian National Congress,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
MANOJ PAUL,Andaman Nicobar Democratic Congress,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
D AYYAPPAN,Communist Party of India (Marxist),Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
V.K. ABDUL AZIZ,Independent,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
DR ARUN KUMAR MALLIK,Bahujan Samaj Party,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
RINKU MALA MONDAL,Independent,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
K VENKAT RAM BABU,Independent,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
USHA KUMARI,Independent,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
ANAND RAMNATH ARLEKAR,Independent,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
G M HARISH (BALAYOGI),Telugu Desam,Andhra Pradesh,Amalapuram (SC) - 7
RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Amalapuram (SC) - 7
GOUTHAM JANGA,Indian National Congress,Andhra Pradesh,Amalapuram (SC) - 7
DORABABU YALLA,Bahujan Samaj Party,Andhra Pradesh,Amalapuram (SC) - 7
KATRU NAGA BABU,Telugu Nava Garjana Party,Andhra Pradesh,Amalapuram (SC) - 7
VADDI LALITH KUMAR,Independent,Andhra Pradesh,Amalapuram (SC) - 7
MAKEY DAVY PRASAD,Independent,Andhra Pradesh,Amalapuram (SC) - 7
GUDE VENKATESWARULU,Independent,Andhra Pradesh,Amalapuram (SC) - 7
RAMESH JILLELLA,Jatiya Jana Sena Party,Andhra Pradesh,Amalapuram (SC) - 7
YALANGI RAMESH,Jaibhim Rao Bharat Party,Andhra Pradesh,Amalapuram (SC) - 7
MATHA KRISHNA,Pyramid Party of India,Andhra Pradesh,Amalapuram (SC) - 7
GIDDI JNANA PRAKASA RAO,Republican Party of India,Andhra Pradesh,Amalapuram (SC) - 7
YADLA RAJESH,Liberation Congress Party,Andhra Pradesh,Amalapuram (SC) - 7
KAPA KALYAN,Republican Party of India (A),Andhra Pradesh,Amalapuram (SC) - 7
PATHURI RAMESH,Peoples Party of India (Democratic),Andhra Pradesh,Amalapuram (SC) - 7
C.M.RAMESH,Bharatiya Janata Party,Andhra Pradesh,Anakapalle - 5
BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Anakapalle - 5
VEGI VENKATESH,Indian National Congress,Andhra Pradesh,Anakapalle - 5
PALAKA SREERAMA MURTHY,Bahujan Samaj Party,Andhra Pradesh,Anakapalle - 5
VANKAYALA RAMACHANDRA RAO,Independent,Andhra Pradesh,Anakapalle - 5
LOVARAJU SIDDHA,Independent,Andhra Pradesh,Anakapalle - 5
KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,Andhra Pradesh,Anakapalle - 5
GARA SURYA RAO,Independent,Andhra Pradesh,Anakapalle - 5
APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,Andhra Pradesh,Anakapalle - 5
NAGESWARA RAO PETLA,Independent,Andhra Pradesh,Anakapalle - 5
ADARI SARAT CHANDRA,Jai Bharat National Party,Andhra Pradesh,Anakapalle - 5
VIJAYA LAKSHMI KARRI,Pyramid Party of India,Andhra Pradesh,Anakapalle - 5
DR. THUMMAPALA HARI SHANKAR,Independent,Andhra Pradesh,Anakapalle - 5
JUNNURI J SRINIVAS,Independent,Andhra Pradesh,Anakapalle - 5
APPALANAIDU TUMMAGUNTA,Independent,Andhra Pradesh,Anakapalle - 5
AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,Andhra Pradesh,Ananthapur - 19
MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Ananthapur - 19
MALLIKARJUNA VAJJALA,Indian National Congress,Andhra Pradesh,Ananthapur - 19
G.V.RAMANA REDDY,Independent,Andhra Pradesh,Ananthapur - 19
BANASI NARAYANAPPA,Bahujan Samaj Party,Andhra Pradesh,Ananthapur - 19
V.MURALI PRASAD REDDY,Independent,Andhra Pradesh,Ananthapur - 19
DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,Andhra Pradesh,Ananthapur - 19
M.SURENDRA,Pyramid Party of India,Andhra Pradesh,Ananthapur - 19
U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,Andhra Pradesh,Ananthapur - 19
P.CHOWDESWARI,Independent,Andhra Pradesh,Ananthapur - 19
VADLA KESAVAIAH,Independent,Andhra Pradesh,Ananthapur - 19
B.RAGHAVENDRA PRASAD,Independent,Andhra Pradesh,Ananthapur - 19
KETHIREDDY RAGHUNATHAREDDY,Independent,Andhra Pradesh,Ananthapur - 19
LOKANATH GOWD SURAGOWINI,Independent,Andhra Pradesh,Ananthapur - 19
SREERANGARAJULA GOPINATH ROYAL,Independent,Andhra Pradesh,Ananthapur - 19
SHAIK.NIZAM,Samajwadi Party,Andhra Pradesh,Ananthapur - 19
RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,Andhra Pradesh,Ananthapur - 19
KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,Andhra Pradesh,Ananthapur - 19
B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),Andhra Pradesh,Ananthapur - 19
SRINIVASA RAJU.O,Bhartiya Panchyat Party,Andhra Pradesh,Ananthapur - 19
DURGA PRASAD D BYATARAYANAJI,Challengers Party,Andhra Pradesh,Ananthapur - 19
GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Araku (ST) - 1
KOTHAPALLI GEETHA,Bharatiya Janata Party,Andhra Pradesh,Araku (ST) - 1
APPALANARASA PACHIPENTA,Communist Party of India (Marxist),Andhra Pradesh,Araku (ST) - 1
AVASHYA LAHARI . VARAM,Bahujan Samaj Party,Andhra Pradesh,Araku (ST) - 1
SAMAREDDY BALAKRISHNA,Independent,Andhra Pradesh,Araku (ST) - 1
NIMMAKA JAYARAJU,Independent,Andhra Pradesh,Araku (ST) - 1
ATHIDHI,Independent,Andhra Pradesh,Araku (ST) - 1
CHANTI BADNAINA,Jai Bharat National Party,Andhra Pradesh,Araku (ST) - 1
MOTTADAM . RAJABABU,Bharat Adivasi Party,Andhra Pradesh,Araku (ST) - 1
RANJITH KUMAR PALAKA,Independent,Andhra Pradesh,Araku (ST) - 1
RAMBABU JALLI,Telugu Rajadhikara Samiti Party,Andhra Pradesh,Araku (ST) - 1
MANDALA GIRIDHARA RAO,Independent,Andhra Pradesh,Araku (ST) - 1
VUYAKA NIREEKSHAN (V. CHENCHU),India Praja Bandhu Party,Andhra Pradesh,Araku (ST) - 1
KRISHNA PRASAD TENNETI,Telugu Desam,Andhra Pradesh,Bapatla (SC) - 15
NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Bapatla (SC) - 15
J.D. SEELAM,Indian National Congress,Andhra Pradesh,Bapatla (SC) - 15
DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,Andhra Pradesh,Bapatla (SC) - 15
NALAMALA TIRUPATI RAO,Navataram Party,Andhra Pradesh,Bapatla (SC) - 15
BUSSA. NAGARAJU,Independent,Andhra Pradesh,Bapatla (SC) - 15
GADDE. VIJAYA LAKSHMI,Independent,Andhra Pradesh,Bapatla (SC) - 15
KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,Andhra Pradesh,Bapatla (SC) - 15
KONDRU KIRAN KUMAR,Independent,Andhra Pradesh,Bapatla (SC) - 15
KATTA ANAND BABU,Independent,Andhra Pradesh,Bapatla (SC) - 15
MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,Andhra Pradesh,Bapatla (SC) - 15
KATTA HEMANAND,Independent,Andhra Pradesh,Bapatla (SC) - 15
PARRE. KOTAIAH,Jaibhim Rao Bharat Party,Andhra Pradesh,Bapatla (SC) - 15
PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,Andhra Pradesh,Bapatla (SC) - 15
CHINNAM MURALIDHAR,All Peoples Party,Andhra Pradesh,Bapatla (SC) - 15
DAGGUMALLA PRASADA RAO,Telugu Desam,Andhra Pradesh,Chittoor(SC) - 25
REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Chittoor(SC) - 25
MOTUKUR JAGAPATHI,Indian National Congress,Andhra Pradesh,Chittoor(SC) - 25
THOGURU VIJAYA KUMAR,Bahujan Samaj Party,Andhra Pradesh,Chittoor(SC) - 25
YUGANDAR . KONDA,Independent,Andhra Pradesh,Chittoor(SC) - 25
K.MUNI KRISHNA,Independent,Andhra Pradesh,Chittoor(SC) - 25
P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party,Andhra Pradesh,Chittoor(SC) - 25
PETA.MOHAN .,Independent,Andhra Pradesh,Chittoor(SC) - 25
C.SUDHAKAR,Independent,Andhra Pradesh,Chittoor(SC) - 25
N.CHANDRABABU,Independent,Andhra Pradesh,Chittoor(SC) - 25
MADASI SUDHARSHAN,Independent,Andhra Pradesh,Chittoor(SC) - 25
D.MAHESH,Independent,Andhra Pradesh,Chittoor(SC) - 25
P.MADHU,Independent,Andhra Pradesh,Chittoor(SC) - 25
N.BHUPATHI,Independent,Andhra Pradesh,Chittoor(SC) - 25
A. PURNA CHANDRA,Independent,Andhra Pradesh,Chittoor(SC) - 25
PALLIPATTU.ABHINAV VISHNU,Samajwadi Party,Andhra Pradesh,Chittoor(SC) - 25
N.GANGAIAH .,Independent,Andhra Pradesh,Chittoor(SC) - 25
T NARESH,Independent,Andhra Pradesh,Chittoor(SC) - 25
BANDAPALLI RAMESH,Independent,Andhra Pradesh,Chittoor(SC) - 25
PUTTA MAHESH KUMAR,Telugu Desam,Andhra Pradesh,Eluru - 10
KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Eluru - 10
KAVURI LAVANYA,Indian National Congress,Andhra Pradesh,Eluru - 10
AJAY BABU BODA,Navarang Congress Party,Andhra Pradesh,Eluru - 10
NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,Andhra Pradesh,Eluru - 10
BOKINALA KOTESWARA RAO,Independent,Andhra Pradesh,Eluru - 10
RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,Andhra Pradesh,Eluru - 10
KANDAVALLI JEEVA DEVA DAYAKAR,Independent,Andhra Pradesh,Eluru - 10
AGASTEEN KOMMINA,Independent,Andhra Pradesh,Eluru - 10
DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,Andhra Pradesh,Eluru - 10
RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,Andhra Pradesh,Eluru - 10
GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,Andhra Pradesh,Eluru - 10
BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,Andhra Pradesh,Eluru - 10
DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,Andhra Pradesh,Guntur - 13
KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Guntur - 13
JANGALA AJAY KUMAR,Communist Party of India,Andhra Pradesh,Guntur - 13
SIVAREDDY. ENDREDDY,Navataram Party,Andhra Pradesh,Guntur - 13
TENALI PRAKASH,Bahujan Samaj Party,Andhra Pradesh,Guntur - 13
SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,Andhra Pradesh,Guntur - 13
SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,Andhra Pradesh,Guntur - 13
UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,Andhra Pradesh,Guntur - 13
SYED. SAIDA,Navarang Congress Party,Andhra Pradesh,Guntur - 13
AMBATI CHALAMAIAH,Pyramid Party of India,Andhra Pradesh,Guntur - 13
PILLI BABU RAO,Independent,Andhra Pradesh,Guntur - 13
HARI VENKATA SATISH KURNALA,Jai Bharat National Party,Andhra Pradesh,Guntur - 13
VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,Andhra Pradesh,Guntur - 13
EMANI. CHANDRASEKHAR RAO,Navodayam Party,Andhra Pradesh,Guntur - 13
SHAIK. KHAJAVALI,Independent,Andhra Pradesh,Guntur - 13
CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,Andhra Pradesh,Guntur - 13
KANNEBOYINA VAMSI KRISHNA YADAV,Independent,Andhra Pradesh,Guntur - 13
MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,Andhra Pradesh,Guntur - 13
GAYATRI AUDHIPUDI,Independent,Andhra Pradesh,Guntur - 13
ASHOK ANAND GALI,Independent,Andhra Pradesh,Guntur - 13
SHAIK ASLAM AKTHER,Independent,Andhra Pradesh,Guntur - 13
PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,Andhra Pradesh,Guntur - 13
AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),Andhra Pradesh,Guntur - 13
DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),Andhra Pradesh,Guntur - 13
BURAGA RATNAM,Loktantrik Janta Dal,Andhra Pradesh,Guntur - 13
VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,Andhra Pradesh,Guntur - 13
SIVA PARVATHI,Independent,Andhra Pradesh,Guntur - 13
BOMMASANI MUTYALA RAO,All Peoples Party,Andhra Pradesh,Guntur - 13
SRIKRISHNA AKKISETTI,Independent,Andhra Pradesh,Guntur - 13
MADAVARAPU NAGA RAJU,Independent,Andhra Pradesh,Guntur - 13
B K PARTHASARATHI,Telugu Desam,Andhra Pradesh,Hindupur - 20
J SHANTHA,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Hindupur - 20
B A SAMAD SHAHEEN,Indian National Congress,Andhra Pradesh,Hindupur - 20
BHAGYA R S,Bahujan Samaj Party,Andhra Pradesh,Hindupur - 20
PRATHAP REDDY GORLA,Independent,Andhra Pradesh,Hindupur - 20
H D HANUMANTHE GOWD,Independent,Andhra Pradesh,Hindupur - 20
ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,Andhra Pradesh,Hindupur - 20
S N SURESH,Independent,Andhra Pradesh,Hindupur - 20
DASAGANIPALLI KULLAYAPPA,Independent,Andhra Pradesh,Hindupur - 20
ASHOK,Socialist Unity Centre Of India (COMMUNIST),Andhra Pradesh,Hindupur - 20
T SUDHAKAR REDDY,Independent,Andhra Pradesh,Hindupur - 20
S RAGHUNATHA REDDY,Independent,Andhra Pradesh,Hindupur - 20
BUDILI DHANUNJAYA,National Nava Kranthi Party,Andhra Pradesh,Hindupur - 20
Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Kadapa - 21
CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,Andhra Pradesh,Kadapa - 21
Y.S. SHARMILA REDDY,Indian National Congress,Andhra Pradesh,Kadapa - 21
PANDITI. GURAPPA.,Bahujan Samaj Party,Andhra Pradesh,Kadapa - 21
VENU GOPAL RACHINENI,Rashtriya Praja Congress (Secular),Andhra Pradesh,Kadapa - 21
CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,Andhra Pradesh,Kadapa - 21
KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,Andhra Pradesh,Kadapa - 21
L. KHAJA HUSSAIN,Independent,Andhra Pradesh,Kadapa - 21
ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc,Andhra Pradesh,Kadapa - 21
KAKARLA SHANMUKHA REDDY,Independent,Andhra Pradesh,Kadapa - 21
PALLE RAMESH,Jaibhim Rao Bharat Party,Andhra Pradesh,Kadapa - 21
CHAN BASHA. S,Anna YSR Congress Party,Andhra Pradesh,Kadapa - 21
J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,Andhra Pradesh,Kadapa - 21
MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi,Andhra Pradesh,Kadapa - 21
TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,Andhra Pradesh,Kakinada - 6
CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Kakinada - 6
MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,Andhra Pradesh,Kakinada - 6
UDAY,Navarang Congress Party,Andhra Pradesh,Kakinada - 6
KANDREGULA NARASIMHAM,Bahujan Samaj Party,Andhra Pradesh,Kakinada - 6
DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,Andhra Pradesh,Kakinada - 6
TANGELLA SRINIVASU,Jatiya Jana Sena Party,Andhra Pradesh,Kakinada - 6
YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),Andhra Pradesh,Kakinada - 6
BUGATHA BANGARRAO,Communist Party of India (Marxist-Leninist) (Liberation),Andhra Pradesh,Kakinada - 6
SUDHA VEERA GANESH,Independent,Andhra Pradesh,Kakinada - 6
BHAVANI SANKAR PRASAD MERLA,Independent,Andhra Pradesh,Kakinada - 6
YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,Andhra Pradesh,Kakinada - 6
BODDETI APPARAO,Independent,Andhra Pradesh,Kakinada - 6
NEELAKANTAM DONAM,Independent,Andhra Pradesh,Kakinada - 6
PASUPULETI S.V.S.BHUSHANAM,Independent,Andhra Pradesh,Kakinada - 6
BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,Andhra Pradesh,Kurnoolu - 18
B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Kurnoolu - 18
P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress,Andhra Pradesh,Kurnoolu - 18
MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party,Andhra Pradesh,Kurnoolu - 18
BOYA SURESH,Independent,Andhra Pradesh,Kurnoolu - 18
T. BEECHUPALLI,Independent,Andhra Pradesh,Kurnoolu - 18
VIJAYA BHASKAR .REDDYPOGU,Independent,Andhra Pradesh,Kurnoolu - 18
PAGADALA KODANDA,Independent,Andhra Pradesh,Kurnoolu - 18
DEVARAPOGU MADDILETY,Independent,Andhra Pradesh,Kurnoolu - 18
PRAKASH REDDY RALAMPADU,Independent,Andhra Pradesh,Kurnoolu - 18
JAHANGIR AHMED,Social Democratic Party Of India,Andhra Pradesh,Kurnoolu - 18
DR. REDDYPOGU PRAVEEN KUMAR,Independent,Andhra Pradesh,Kurnoolu - 18
ABDUL SATTAR A.S.R,Anna YSR Congress Party,Andhra Pradesh,Kurnoolu - 18
VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party,Andhra Pradesh,Kurnoolu - 18
URUKUNDU VADDE,Independent,Andhra Pradesh,Kurnoolu - 18
MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),Andhra Pradesh,Kurnoolu - 18
SUNKARA SREEDHAR,Jai Bharat National Party,Andhra Pradesh,Kurnoolu - 18
TARIGOPULA RAJABABU,All Peoples Party,Andhra Pradesh,Kurnoolu - 18
AMRUTH KUMAR SALKAPURAM,Liberation Congress Party,Andhra Pradesh,Kurnoolu - 18
BALASHOWRY VALLABHANENI,Janasena Party,Andhra Pradesh,Machilipatnam - 11
SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Machilipatnam - 11
GOLLU KRISHNA,Indian National Congress,Andhra Pradesh,Machilipatnam - 11
BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,Andhra Pradesh,Machilipatnam - 11
DEVAMANI DEVARAPALLI,Bahujan Samaj Party,Andhra Pradesh,Machilipatnam - 11
KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,Andhra Pradesh,Machilipatnam - 11
VALLABHANENI NAGA PAVAN KUMAR,Independent,Andhra Pradesh,Machilipatnam - 11
MARADANI K R SWAMY,Jai Maha Bharath Party,Andhra Pradesh,Machilipatnam - 11
GANDHI DHANEKULA,Independent,Andhra Pradesh,Machilipatnam - 11
PAMULA BALA SOWRYAMMA,Independent,Andhra Pradesh,Machilipatnam - 11
ANUSHA YERUVA,Independent,Andhra Pradesh,Machilipatnam - 11
GUDAVALLI VENKATA KEDARESWARA RAO,Independent,Andhra Pradesh,Machilipatnam - 11
JOGI VEERANJANEYULU,Independent,Andhra Pradesh,Machilipatnam - 11
DAMODARA RAO GUDAVALLI,Independent,Andhra Pradesh,Machilipatnam - 11
APPARAO ENNETI,Independent,Andhra Pradesh,Machilipatnam - 11
DR BYREDDY SHABARI,Telugu Desam,Andhra Pradesh,Nandyal - 17
POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Nandyal - 17
J LAKSHMI NARASIMHA YADAV,Indian National Congress,Andhra Pradesh,Nandyal - 17
P GURUVAIAH,Independent,Andhra Pradesh,Nandyal - 17
A CHINNA MOULALI,Bahujan Samaj Party,Andhra Pradesh,Nandyal - 17
HAFIZ ATAULLAH KHAN,Social Democratic Party Of India,Andhra Pradesh,Nandyal - 17
KOMMUSANI PEDDA KAMBAGIRI SWAMY,Independent,Andhra Pradesh,Nandyal - 17
GAGGERA VENKATA RAMANAIAH,Independent,Andhra Pradesh,Nandyal - 17
DUMAVATH SWAMY NAIK,Independent,Andhra Pradesh,Nandyal - 17
KUNUKUNTLA RAMUDU,Independent,Andhra Pradesh,Nandyal - 17
E ANIL KUMAR,Independent,Andhra Pradesh,Nandyal - 17
C SURENDRA NATHA REDDY,Independent,Andhra Pradesh,Nandyal - 17
BRAHMANANDA REDDY K,Independent,Andhra Pradesh,Nandyal - 17
UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party,Andhra Pradesh,Nandyal - 17
NAGESWARA RAO,Independent,Andhra Pradesh,Nandyal - 17
VIJAYA BHASKAR REDDYPOGU,Independent,Andhra Pradesh,Nandyal - 17
YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc,Andhra Pradesh,Nandyal - 17
BHUMA VEERA BHADRA REDDY,Navarang Congress Party,Andhra Pradesh,Nandyal - 17
PANDU RANGA YADAV SIDDAPU,Samajwadi Party,Andhra Pradesh,Nandyal - 17
CHANDINI REDDY VAKATI,Liberation Congress Party,Andhra Pradesh,Nandyal - 17
B C RAMANADHA AREDDY,Independent,Andhra Pradesh,Nandyal - 17
GAJULA SHALIMIYA,Anna YSR Congress Party,Andhra Pradesh,Nandyal - 17
KULURU RAMA KRISHNA REDDY,Neethi Nijayithi Party,Andhra Pradesh,Nandyal - 17
CH P MALLESWARUDU,Independent,Andhra Pradesh,Nandyal - 17
I V PAKKIR REDDY,Independent,Andhra Pradesh,Nandyal - 17
V MADHUSUDHANA REDDY,Independent,Andhra Pradesh,Nandyal - 17
BUSHAKU MAHESWARA REDDY,Independent,Andhra Pradesh,Nandyal - 17
U P MUNI REDDY,Independent,Andhra Pradesh,Nandyal - 17
GOGULA SUGUNAMMA,Jai Maha Bharath Party,Andhra Pradesh,Nandyal - 17
BELLAMKONDA SREENIVASULU,Independent,Andhra Pradesh,Nandyal - 17
BALIJA SHIVA KUMAR,Independent,Andhra Pradesh,Nandyal - 17
BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,Andhra Pradesh,Narsapuram - 9
UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Narsapuram - 9
K.B.R.NAIDU,Indian National Congress,Andhra Pradesh,Narsapuram - 9
PRASANNA KUMAR UNDURTHI,Independent,Andhra Pradesh,Narsapuram - 9
MEDAPATI VENKATA VARAHALA REDDY,Independent,Andhra Pradesh,Narsapuram - 9
SIRRA RAJU,Bahujan Samaj Party,Andhra Pradesh,Narsapuram - 9
BALAGAM NAYAKAR,Independent,Andhra Pradesh,Narsapuram - 9
NALLI RAJESH,Independent,Andhra Pradesh,Narsapuram - 9
KETHA SREENU,Independent,Andhra Pradesh,Narsapuram - 9
OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,Andhra Pradesh,Narsapuram - 9
ADDEPALLI VEERA VENKAT SUBBA RAO,Independent,Andhra Pradesh,Narsapuram - 9
ANAND CHANDULAL JASTI,Independent,Andhra Pradesh,Narsapuram - 9
GANJI PURNIMA,Republican Party of India (A),Andhra Pradesh,Narsapuram - 9
GEDALA LAXMANA RAO,Independent,Andhra Pradesh,Narsapuram - 9
ADDANKI DORABABU,Independent,Andhra Pradesh,Narsapuram - 9
GOTTUMUKKALA SHIVAJI,Independent,Andhra Pradesh,Narsapuram - 9
ADINARAYANA DUPPANAPUDI,Independent,Andhra Pradesh,Narsapuram - 9
MANNE LEELA RAMA NARENDRA,Pyramid Party of India,Andhra Pradesh,Narsapuram - 9
RAMA DURGA PRASAD THOLETI,Independent,Andhra Pradesh,Narsapuram - 9
RUKHMINI,Independent,Andhra Pradesh,Narsapuram - 9
ADABALA SIVA,Independent,Andhra Pradesh,Narsapuram - 9
LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,Andhra Pradesh,Narsaraopet - 14
ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Narsaraopet - 14
GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress,Andhra Pradesh,Narsaraopet - 14
ORSU PREMARAJU,Bahujan Samaj Party,Andhra Pradesh,Narsaraopet - 14
KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party,Andhra Pradesh,Narsaraopet - 14
GARLAPATI SUBHASH PREM,Revolutionary Socialist Party,Andhra Pradesh,Narsaraopet - 14
YAMPATI VEERANJANEYA REDDY,Independent,Andhra Pradesh,Narsaraopet - 14
SUBBARAO CHALLA,Independent,Andhra Pradesh,Narsaraopet - 14
ABDUL RAJAK SHAIK,Independent,Andhra Pradesh,Narsaraopet - 14
KOTA POTHURAJU,Pyramid Party of India,Andhra Pradesh,Narsaraopet - 14
P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party,Andhra Pradesh,Narsaraopet - 14
PASUPULETI PICHAIAH,National Nava Kranthi Party,Andhra Pradesh,Narsaraopet - 14
PAPPULA SAMBASIVA RAO,Navarang Congress Party,Andhra Pradesh,Narsaraopet - 14
DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,Andhra Pradesh,Narsaraopet - 14
THOKALA NAGA RAJU,All India Forward Bloc,Andhra Pradesh,Narsaraopet - 14
PRABHAKAR REDDY VEMIREDDY,Telugu Desam,Andhra Pradesh,Nellore - 22
VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Nellore - 22
KOPPULA RAJU,Indian National Congress,Andhra Pradesh,Nellore - 22
BHASKAR NASINA,Bahujan Samaj Party,Andhra Pradesh,Nellore - 22
VIVEKA MANNEPALLI,Revolutionary Socialist Party,Andhra Pradesh,Nellore - 22
KOPPALA RAGHU,Independent,Andhra Pradesh,Nellore - 22
GAJULA SOMA SEKHAR,Jai Bharat National Party,Andhra Pradesh,Nellore - 22
SHAIK MUZIBUR RAHAMAN,Pyramid Party of India,Andhra Pradesh,Nellore - 22
